Accession	Species	Class
PmCD00331568	Pyrococcus horikoshii	1
PmCD00331569	Pyrococcus horikoshii	1
ApCD00331570	Aeropyrum pernix	1
XfCD00331571	Xylella fastidiosa	1
XfCD00331572	Xylella fastidiosa	1
VpCD00331573	Vibrio parahaemolyticus	1
VpCD00331574	Vibrio parahaemolyticus	1
VpCD00331575	Vibrio parahaemolyticus	1
VpCD00331576	Vibrio parahaemolyticus	1
VpCD00331577	Vibrio parahaemolyticus	1
VpCD00331578	Vibrio parahaemolyticus	0
VpCD00331579	Vibrio parahaemolyticus	1
VcCD00331580	Vibrio cholerae	1
VcCD00331581	Vibrio cholerae	1
VcCD00331582	Vibrio cholerae	1
VcCD00331583	Vibrio cholerae	1
VcCD00331584	Vibrio cholerae	1
VcCD00331585	Vibrio cholerae	1
TeCD00331586	Thermosynechococcus elongatus	0
TeCD00331587	Thermosynechococcus elongatus	1
LaCD00331588	Lactobacillus acidophilus	0
LaCD00331589	Lactobacillus acidophilus	1
LaCD00331590	Lactobacillus acidophilus	1
RrCD00331591	Rhodospirillum rubrum	1
SmCD00331592	Sinorhizobium meliloti	0
RvCD00331593	Agrobacterium vitis	1
RvCD00331594	Agrobacterium vitis	0
RfCD00331595	Rhodobacter sphaeroides	0
RdCD00331596	Roseobacter denitrificans	1
TeCD00331597	Thermosynechococcus elongatus	1
SeCD00331598	Synechococcus elongatus	0
RrCD00331599	Rhodospirillum rubrum	0
AsCD00331600	Archaeoglobus fulgidus	1
AsCD00331601	Archaeoglobus fulgidus	1
AsCD00331602	Archaeoglobus fulgidus	1
AsCD00331603	Archaeoglobus fulgidus	1
AsCD00331604	Archaeoglobus fulgidus	1
AsCD00331605	Archaeoglobus fulgidus	1
EcCD00331606	Pectobacterium carotovorum	1
MsCD00331607	Methanobrevibacter smithii	1
MsCD00331608	Methanobrevibacter smithii	1
MsCD00331609	Methanobrevibacter smithii	1
MsCD00331610	Methanobrevibacter smithii	1
MsCD00331611	Methanobrevibacter smithii	1
CpCD00331612	Clostridium perfringens	0
CpCD00331613	Clostridium perfringens	1
CpCD00331614	Clostridium perfringens	1
ChCD00331615	Cytophaga hutchinsonii	1
ChCD00331616	Cytophaga hutchinsonii	1
ChCD00331617	Cytophaga hutchinsonii	0
CdCD00331618	Clostridium difficile	1
BtCD00331619	Bacteroides thetaiotaomicron	1
BcCD00331620	Bacillus cereus	1
AaCD00331621	Acinetobacter sp. ADP1	1
AaCD00331622	Acinetobacter sp. ADP1	1
AaCD00331623	Acinetobacter sp. ADP1	1
AaCD00331624	Acinetobacter sp. ADP1	1
PaCD00331625	Pseudomonas aeruginosa	1
PaCD00331626	Pseudomonas aeruginosa	1
PaCD00331627	Pseudomonas aeruginosa	0
PaCD00331628	Pseudomonas aeruginosa	1
NeCD00331629	Nitrosomonas europaea	1
NeCD00331630	Nitrosomonas europaea	1
NeCD00331631	Nitrosomonas europaea	0
NeCD00331632	Nitrosomonas europaea	1
NeCD00331633	Nitrosomonas europaea	1
MlCD00331634	Mesorhizobium loti	0
MlCD00331635	Mesorhizobium loti	1
MlCD00331636	Mesorhizobium loti	0
MlCD00331637	Mesorhizobium loti	1
MlCD00331638	Mesorhizobium loti	0
MlCD00331639	Mesorhizobium loti	1
MlCD00331640	Mesorhizobium loti	0
MlCD00331641	Mesorhizobium loti	0
MlCD00331642	Mesorhizobium loti	1
MlCD00331643	Mesorhizobium loti	1
MlCD00331644	Mesorhizobium loti	0
MlCD00331645	Mesorhizobium loti	1
MlCD00331646	Mesorhizobium loti	1
MlCD00331647	Mesorhizobium loti	1
MlCD00331648	Mesorhizobium loti	1
MlCD00331649	Mesorhizobium loti	0
MlCD00331650	Mesorhizobium loti	0
MlCD00331651	Mesorhizobium loti	1
MlCD00331652	Mesorhizobium loti	0
MlCD00331653	Mesorhizobium loti	1
MlCD00331654	Mesorhizobium loti	0
MlCD00331655	Mesorhizobium loti	1
MlCD00331656	Mesorhizobium loti	1
MmCD00331657	Methanosarcina mazei	1
LaCD00331658	Lactobacillus acidophilus	1
LlCD00331659	Lactococcus lactis	1
AsCD00331660	Archaeoglobus fulgidus	0
TvCD00331661	Thermoplasma volcanium	1
StCD00331662	Salmonella enterica subsp. enterica serovar Typhimurium	1
SoCD00331663	Shewanella oneidensis	1
SoCD00331664	Shewanella oneidensis	0
SeCD00331665	Salmonella enterica	1
ShCD00331666	Staphylococcus haemolyticus	1
ShCD00331667	Staphylococcus haemolyticus	1
SfCD00331668	Shigella flexneri	1
SfCD00331669	Shigella flexneri	1
BsCD00331670	Bacillus subtilis	1
BsCD00331671	Bacillus subtilis	1
BsCD00331672	Bacillus subtilis	1
HpCD00331673	Helicobacter pylori	1
HpCD00331674	Helicobacter pylori	1
NsCD00331675	Nostoc sp. PCC 7120	1
NsCD00331676	Nostoc sp. PCC 7120	1
NgCD00331677	Neisseria gonorrhoeae	0
NgCD00331678	Neisseria gonorrhoeae	1
NgCD00331679	Neisseria gonorrhoeae	1
NgCD00331680	Neisseria gonorrhoeae	0
NgCD00331681	Neisseria gonorrhoeae	1
NgCD00331682	Neisseria gonorrhoeae	1
NeCD00331683	Nitrosomonas europaea	1
NeCD00331684	Nitrosomonas europaea	1
NeCD00331685	Nitrosomonas europaea	1
NeCD00331686	Nitrosomonas europaea	1
NeCD00331687	Nitrosomonas europaea	1
NeCD00331688	Nitrosomonas europaea	0
NeCD00331689	Nitrosomonas europaea	1
NeCD00331690	Nitrosomonas europaea	1
NeCD00331691	Nitrosomonas europaea	1
NeCD00331692	Nitrosomonas europaea	1
NeCD00331693	Nitrosomonas europaea	1
NeCD00331694	Nitrosomonas europaea	0
BcCD00331695	Bacillus cereus	1
BcCD00331696	Bacillus cereus	1
